Accident,CBRN Event,Agitating Trouble Making,Civil War Outbreak,Coup d'Etat,Demonstration,Election,Gathering,Natural Causes Death,Riot,Strike,Suicide,Criminal Arrest,Drug operation,Hooliganism Troublemaking,Illegal Civil Demonstration,Political Violence,Trafficking,Theft,Bombing,Economic Crisis,Epidemic,Fire,Natural Event,Pollution
un crash aérien,une fuite de produit chimique,une cérémonie de remise de don,une guerre civile,un coup d'état,une manifestation,des élections,un concert,la mort naturelle,une marche,une grève,un suicide,une arrestation,le trafic de drogue,une embuscade,une réunion publique,une embuscade,un trafic,un vol,le bombardement du parc,une crise économique,une contamination,le feu de brousse,une inondation,la pollution des eaux de robinets
un accident de voiture,une fuite de produit radioactif,une inauguration ,une guerre intracommunautaire,un coup d'Etat,une marche de protestation,une élection,une célébration,une crise cardiaque,le rassemblement ,une descente dans les rues,,,une opération de chasse d'un cartel,une bagarre,une réunion clandestine,un attentat,un trafic des trésors,un vol de portables,un bombardement,une crise financière,l'épidémie de la Covid 19,un tourbillon de feu,une tornade,la pollution atmosphérique due au gazoduc
un accident du travail,une émission radioactive,la conférence de la journée internationale de l’environnement,une guerre communautaire,,,les éléctions municipales,un festival,une asphyxie,une manifestation,un mouvement de grève,,,une transaction de drogue,une victime d'agression,une marche non autorisée,un affrontement politique,le trafic illégal,un vol de voitures,un bombardement d’artillerie,une crise bancaire,la pandémie du corona virus,un feu,un tremblement de terre,la pollution atmosphérique
un naufrage,un échauffement de centrale nucléiare,la célébration de la journée de l’arbre,une guerre,,,les élections présidentielles,un rassemblement ,la déshydratation,une grève,,,,,une agression,un regroupement illégal,des rébellions armées,le trafic de drogue,un vol de tablettes,une explosion,une crise monétaire,une contamination de la grippe aviaire,un incendie,un typhon,la pollution
un accident de la route,une exposition à des produits chimiques,la cérémonie d’hommage,un affrontement,,,les élections communales,une fête,des troubles métaboliques,des protestations,,,,,un braquage,une rencontre illégale,une vague de contestation,le trafic de véhicules,un vol d'ordinateurs,une attaque à la roquette,une crise,l'épidémie de la peste,les feux de forêt,un glissement de terrain,la pollution causée par l’industrie cosmétique
un accident de moto,une exposition à des produits radioactifs,,,,,les élections législatives,les retrouvailles des habitants,un diabète,une grève générale,,,,,un cambriolage,une mobilisation,des manifestations meurtrières,la contrebande de tabac,une affaire de cambriolage de maison,,la crise de 2008,une épidémie,,,la pollution locale
un accident de vélo,une contamination biologique,,,,,,,une crise d'asthme,une grève nationale,,,,,un tapage nocturne,un soulèvement,une parade militaire,un trafic de tapis,un vol de bijoux,,un krach boursier,une épidémie de choléra,,,la pollution des eaux par le cadmium
,une rupture d'un réacteur nucléiare,,,,,,,le décès,,,,,,,une vague de révolte,des incidents violents,le trafic de boissons,un vol de 250 mille dollars,,,une épidémie de grippe,,,la pollution de l’air
,une explosion d'un conteneur contenant des produits chimiques,,,,,,,une hypoglycémie,,,,,,,une vague de violence,une répression violente,le trafic de pièces détachées,une série de vols,,,une épidémie d'infections,,,
,une explosion d'un réservoir contenant des produits chimiques,,,,,,,une hypertension,,,,,,,,une manifestation de grande ampleur,le trafic d'artefacts, des vols de matériau de construction,,,l'épidémie de la gale,,,
,,,,,,,,une hypertension arterielle,,,,,,,,un rassemblement,le trafic important de montres,le vol de médicaments,,,la recrudescence de la maladie de la rougeole,,,
,,,,,,,,un AVC,,,,,,,,un soulèvement populaire,un trafic de produits cosmétiques et produits de soins personnels,les vols de climatiseurs,,,une épidémie de fièvre jaune,,,
,,,,,,,,le coup sur la tête,,,,,,,,,le trafic illégal de bois, la disparition d’une importante somme d’argent,,,une épidémie de dengue,,,
,,,,,,,,la consommation de mélange de médicament et d'alcool,,,,,,,,,le trafic de l’or et des pierres précieuses,le braquage d'une banque,,, l’épidémie de maladie à virus Ebola,,,
,,,,,,,,une insuffisance cardiaque,,,,,,,,,le commerce illicite,le vol de boissons alcoolisées,,,une épidémie d'encéphalite,,,
,,,,,,,,une douleur au coeur,,,,,,,,,un trafic de denrées alimentaires,des branchements illicites,,,l'épidémie de méningite,,,
,,,,,,,,un infractus,,,,,,,,,un trafic de parfums,,,,l'apparition d'une maladie étrange,,,
,,,,,,,,un problème respiratoire,,,,,,,,,,,,,,,,
,,,,,,,,une crise d'asphyxie,,,,,,,,,,,,,,,,
,,,,,,,,une alergie,,,,,,,,,,,,,,,,
,,,,,,,,une perte de conscience,,,,,,,,,,,,,,,,
